month,address,is_warning,reason
1,Leikosaarenkuja 4,0,0400 1501 2001
1,Leikosaarenkuja 4,0,0400
1,Vedenottamontie 12,0,0401
1,Kaivonkatsojantie 9,0,1501
1,Kaivonkatsojantie 5,0,2301
1,Kaivonkatsojantie 5,0,0905
1,Kaivonkatsojantie 3,0,0905
1,Kaivonkatsojantie 3,0,0905
1,Kaivonkatsojantie 3,0,0905
1,Vedenottamontie 12,0,0401
1,Vedenottamontie 12,0,0401
1,Vedenottamontie 12,0,0401
1,Vedenottamontie 12,0,0401
1,Leikosaarenkuja 7,0,0401
1,Leikosaarenkuja 3,0,0401
1,Vedenottamontie 6,0,0401
1,Vedenottamontie 6,0,0401
1,Vedenottamontie 5,0,0401
1,Vedenottamontie 5,0,0401
1,Kalkkihiekantie 3,0,1506
1,Vedenottamontie 12,0,0401
1,Vedenottamontie 12,0,0401
1,Vedenottamontie 12,0,0401
1,Vedenottamontie 12,0,0401
1,Vedenottamontie 14,0,0401
1,Vedenottamontie 14,0,0401
1,Vedenottamontie 14,0,0401
